32,32,32,1,1,1
32,32,32,2,1,1
32,32,32,4,1,1
32,32,32,8,1,1
32,32,32,16,1,1
32,32,32,32,1,1
48,32,32,1,1,1
48,32,32,2,1,1
48,32,32,4,1,1
48,32,32,8,1,1
48,32,32,16,1,1
48,32,32,21,1,1
64,32,32,1,1,1
64,32,32,2,1,1
64,32,32,4,1,1
64,32,32,8,1,1
64,32,32,16,1,1
96,32,32,1,1,1
96,32,32,2,1,1
96,32,32,4,1,1
96,32,32,8,1,1
96,32,32,10,1,1
128,32,32,1,1,1
128,32,32,2,1,1
128,32,32,4,1,1
128,32,32,8,1,1
32,48,32,1,1,1
32,48,32,2,1,1
32,48,32,4,1,1
32,48,32,8,1,1
32,48,32,16,1,1
32,48,32,32,1,1
32,64,32,1,1,1
32,64,32,2,1,1
32,64,32,4,1,1
32,64,32,8,1,1
32,64,32,16,1,1
32,64,32,32,1,1
32,96,32,1,1,1
32,96,32,2,1,1
32,96,32,4,1,1
32,96,32,8,1,1
32,96,32,16,1,1
32,96,32,32,1,1
32,128,32,1,1,1
32,128,32,2,1,1
32,128,32,4,1,1
32,128,32,8,1,1
32,128,32,16,1,1
32,128,32,32,1,1
48,48,32,1,1,1
48,48,32,2,1,1
48,48,32,4,1,1
48,48,32,8,1,1
48,48,32,16,1,1
48,48,32,21,1,1
48,64,32,1,1,1
48,64,32,2,1,1
48,64,32,4,1,1
48,64,32,8,1,1
48,64,32,16,1,1
48,64,32,21,1,1
48,96,32,1,1,1
48,96,32,2,1,1
48,96,32,4,1,1
48,96,32,8,1,1
48,96,32,16,1,1
48,96,32,21,1,1
48,128,32,1,1,1
48,128,32,2,1,1
48,128,32,4,1,1
48,128,32,8,1,1
48,128,32,16,1,1
48,128,32,21,1,1
64,48,32,1,1,1
64,48,32,2,1,1
64,48,32,4,1,1
64,48,32,8,1,1
64,48,32,16,1,1
64,64,32,1,1,1
64,64,32,2,1,1
64,64,32,4,1,1
64,64,32,8,1,1
64,64,32,16,1,1
64,96,32,1,1,1
64,96,32,2,1,1
64,96,32,4,1,1
64,96,32,8,1,1
64,96,32,16,1,1
64,128,32,1,1,1
64,128,32,2,1,1
64,128,32,4,1,1
64,128,32,8,1,1
64,128,32,16,1,1
96,48,32,1,1,1
96,48,32,2,1,1
96,48,32,4,1,1
96,48,32,8,1,1
96,48,32,10,1,1
96,64,32,1,1,1
96,64,32,2,1,1
96,64,32,4,1,1
96,64,32,8,1,1
96,64,32,10,1,1
96,96,32,1,1,1
96,96,32,2,1,1
96,96,32,4,1,1
96,96,32,8,1,1
96,96,32,10,1,1
96,128,32,1,1,1
96,128,32,2,1,1
96,128,32,4,1,1
96,128,32,8,1,1
96,128,32,10,1,1
128,48,32,1,1,1
128,48,32,2,1,1
128,48,32,4,1,1
128,48,32,8,1,1
128,64,32,1,1,1
128,64,32,2,1,1
128,64,32,4,1,1
128,64,32,8,1,1
128,96,32,1,1,1
128,96,32,2,1,1
128,96,32,4,1,1
128,96,32,8,1,1
128,128,32,1,1,1
128,128,32,2,1,1
128,128,32,4,1,1
128,128,32,8,1,1
32,32,48,1,1,1
32,32,48,2,1,1
32,32,48,4,1,1
32,32,48,8,1,1
32,32,48,16,1,1
32,32,48,32,1,1
32,32,64,1,1,1
32,32,64,2,1,1
32,32,64,4,1,1
32,32,64,8,1,1
32,32,64,16,1,1
32,32,64,32,1,1
32,32,96,1,1,1
32,32,96,2,1,1
32,32,96,4,1,1
32,32,96,8,1,1
